stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,stop_timezone,location_type,parent_station
ROME2398,72989,"Radicofani/S. Gimignano","25 M.DOPO VIA SINALUNGA PRIMA CIVICO 165",41.974819,12.513131,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2399,72990,"Radicofani/S. Gennaro","25 M. DOPO VIA S.GENNARO FRONTE CIVICO 130/A",41.976124,12.511582,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2400,72991,"Radicofani/Monte S. Savino","20 M.PR.SBOCCO VIA MONTE S.SAVINO FRONTE CIV.96",41.977051,12.510335,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2402,72993,"Morosini E./Nuovo Regina Margherita","",41.885883,12.470115,"",,,
ROME2405,72996,"Carini/Bonnet","40 M. DOPO VIA F.LLI BONNET ALTEZZA CIVICO 50/A",41.884773,12.460872,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2406,72997,"Regnoli/Quattro Venti","80 M. DOPO VIA DEL VASCELLO  ALTEZZA CIVICO 12",41.884014,12.459042,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2407,72998,"Fosso Di Dragoncello/Macchia Palocco","",41.761501,12.328750,"",,,
ROME2408,72999,"Ottavilla/Pamphili","",41.883816,12.456280,"",,,
ROME2409,73000,"Magliano Sabina/Vescovio","25 M.PRIMA PIAZZA VESCOVIO ALTEZZA CIVICO 9",41.933563,12.512129,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2410,73001,"Fonteiana/Ottavilla","",41.883049,12.454963,"",,,
ROME2411,73002,"Fonteiana","",41.880447,12.454242,"",,,
ROME2412,73003,"Abate Ugone/Donna Olimpia","",41.877903,12.453027,"",,,
ROME2413,73004,"Ozanam/Bottazzi","",41.877380,12.450708,"",,,
ROME2414,73005,"Ozanam/Fabiola","",41.876434,12.448502,"",,,
ROME2415,73006,"S. Giovanni Di Dio/Ozanam","",41.875294,12.446627,"",,,
ROME2416,73007,"Jenner/Torrecremata","",41.872028,12.444685,"",,,
ROME2417,73008,"Scotti","",41.869240,12.446470,"",,,
ROME2418,73009,"Val Tellina/Duchessa Di Galliera","",41.867809,12.447562,"",,,
ROME2419,73010,"Val Tellina/Forlanini","",41.866180,12.448893,"",,,
ROME2420,73012,"Di Donato","",41.864101,12.448203,"",,,
ROME2421,73013,"Bufalotta/Colonia Agricola","60 M. DOPO VIA DELLA COLONIA AGRICOLA PRIMA CIVICO 1301",41.984325,12.551667,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2422,73014,"Agnelli","",41.862354,12.445918,"",,,
ROME2423,73015,"Bufalotta/Civico 1297","40 M. DOPO CIVICO 1297",41.981869,12.552050,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2424,73016,"Agnelli/Morelli","",41.861294,12.443737,"",,,
ROME2425,73017,"Bufalotta/Canetti","",41.978809,12.552262,"",,,
ROME2426,73019,"Bufalotta/Tor S. Giovanni","",41.975056,12.552030,"",,,
ROME2427,73020,"Newton/Colli Portuensi","",41.859264,12.442685,"",,,
ROME2428,73021,"Bufalotta/Canberra","",41.970425,12.550562,"",,,
ROME2429,73022,"Newton/Ussani","",41.857761,12.440902,"",,,
ROME2430,73023,"Bufalotta/Dalmistro","",41.968708,12.550130,"",,,
ROME2431,73024,"Bufalotta/Settebagni","",41.965271,12.549153,"",,,
ROME2433,73026,"Bufalotta/Scuola","",41.963131,12.548105,"",,,
ROME2434,73028,"Bufalotta/Camerini","",41.957085,12.545380,"",,,
ROME2435,73031,"Guerra R./Cannavina","20 M. DOPO VIA CANNAVINA",41.881947,12.356123,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2436,73032,"Laurentina","",41.826626,12.481252,"",,,
ROME2437,73033,"Chiesa Nuova","",41.897888,12.468842,"",,,
ROME2438,73035,"Adriatico/Lampedusa","",41.942287,12.536975,"",,,
ROME2444,73042,"Bufalotta/Scuola","",41.963589,12.548692,"",,,
ROME2445,73043,"Bufalotta/Settebagni","",41.966309,12.549625,"",,,
ROME2446,73044,"Bufalotta/Mignosi","",41.967499,12.550040,"",,,
ROME2447,73045,"Bufalotta/Dalmistro","",41.969570,12.550470,"",,,
ROME2448,73046,"Bufalotta/Canberra","",41.970814,12.550842,"",,,
ROME2449,73047,"Bufalotta/Falerone","",41.973564,12.551683,"",,,
ROME2450,73049,"Bufalotta/Canetti","",41.980331,12.552470,"",,,
ROME2451,73050,"Bufalotta/Civico 1297","70 M. DOPO FRONTE CIVICO 1297",41.983276,12.552010,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2452,73053,"Casal Selce","",41.885048,12.334300,"",,,
