stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,stop_timezone,location_type,parent_station
ROME1641,72025,Don Minzoni,"30 M. DOPO PZA DON MINZONI ALTEZZA CIVICO 90",41.920216,12.479605,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1693,72098,Landi Fabiano/Bressani,"45 M. PRIMA SBOCCO VIA F.G.BRESSANI 5 M. DOPO CIVICO 151",41.787369,12.375900,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1697,72102,Landi Fabiano/Bressani,"20 M. DOPO VIA F.G.BRESSANI",41.787201,12.375925,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1705,72114,Agricoltura,"I CORSIA - CAPOLINEA 777",41.836555,12.472073,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1717,72126,Cina/Hazon,"90 M. DOPO PZA A.HAZON ALTEZZA CIVICO 4",41.815857,12.437033,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1718,72127,Cina/Fosso Torrino,"90 M. DOPO VIA DEL FOSSO DEL TORRINO",41.814114,12.435510,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1719,72128,Cina/Fiume Azzurro,"30 M. PRIMA DI VIA FIUME AZZURRO DOPO CIVICO 308",41.811535,12.432242,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1720,72129,Cina,"50 M. PRIMA PLE CINA - FERMATA TEMPORANEA",41.808853,12.431973,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1722,72135,Cina,"90 M. DOPO PLE CINA FR.CIVICO 446",41.809139,12.432077,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1723,72137,Cina/Fosso Torrino,"10 M. PRIMA SBOCCO VIA FOSSO DEL TORRINO",41.814690,12.436098,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1724,72138,Cina/Hazon,"70 M. PRIMA PZA A.HAZON FRONTE CIVICO 4",41.815887,12.437299,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1810,72242,Laurentina,"I CORSIA DA DX - CAPOLINEA 778",41.826668,12.480988,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1847,72283,Mastro Gabriello/Comparini,"50 M. PRIMA VIA FRASCHERI FRONTE CIVICO 32",41.993183,12.485888,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1848,72284,Frascheri/Aretusi,"25 M. DOPO SBOCCO VIA G.ARETUSI PRIMA CIVICO 52",41.992538,12.482593,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1853,72290,Caraglio,"25 M. DOPO VIA COMPARINI PRIMA CIVICO 26",41.991341,12.482994,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1854,72291,Roverbella,"75 M. DOPO SBOCCO VIA ARETUSI PRIMA CIVICO 21",41.990093,12.485668,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1855,72292,Carcagni/Roverbella,"50 M. DOPO SBOCCO VIA ROVERBELLA PRIMA CIVICO 91",41.990765,12.486517,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1856,72293,Carcagni/Comparini,"25 M. PRIMA VIA COMPARINI DOPO CIVICO 39",41.992458,12.485801,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1857,72296,Labaro/Veientana Vetere,"35 M. DOPO VIA VEIENTANA VETERE ALTEZZA CIVICO 3",41.989113,12.493662,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1891,72349,Labaro/Veientana Vetere,"50 M. DOPO SB.VIA VEIENTANA VETERE PR.CIV.22",41.988842,12.492683,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1892,72350,Monti Valchetta/Labaro,"FRONTE CIVICO 3",41.988537,12.490688,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1893,72351,Monti Valchetta/Costantiniana,"5  M. DOPO CIVICO 64/B",41.992020,12.487276,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1894,72352,Comparini,"30 M. DOPO VIA MONTI DELLA VALCHETTA FRONTE CIVICO 5",41.992985,12.486574,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1911,72376,Quinto Publicio/Togliatti,"40 M. DOPO VLE P.TOGLIATTI",41.856136,12.572008,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1912,72377,Quinto Publicio/Lamaro,"30 M. PRIMA VIA V.LAMARO",41.855965,12.575129,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1913,72378,Scintu/Vignali,"40 M. DOPO SBOCCO VLE R.VIGNALI",41.855480,12.579186,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1915,72380,Scintu/Torre Spaccata,"105 M. PRIMA VIA TORRE SPACCATA",41.852844,12.581324,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1916,72381,Torre Spaccata/Romanisti,"100 M. PRIMA VLE DEI ROMANISTI",41.866245,12.586692,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1919,72384,Belfanti,"ALTEZZA CIVICO 66",41.879002,12.351918,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1923,72388,Piazza Saxa Rubra,"20 M. PRIMA VIA VILLA DI LIVIA - CAPOLINEA 033-035",42.001236,12.493259,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1931,72398,Pisana/Fosso Bravetta,"15 M. DOPO CIVICO 332",41.872444,12.412726,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1932,72399,Fosso Bravetta/Casale Ninfeo,"35 M. DOPO SBOCCO VIA CASAL NINFEO",41.873440,12.414980,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1933,72400,Fosso Bravetta/Amodei,"50 M. DOPO SBOCCO VIA DEGLI AMODEI ALTEZZA CIVICO 68",41.875549,12.417488,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1937,72404,Consolata/Estensi,"5 M. PRIMA CIVICO 31",41.876713,12.424093,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1938,72405,Silvestri/Min. G. Giustizia,"20 M. DOPO CIVICO 294",41.877159,12.427997,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1939,72406,Consolata/Buon Pastore,"10 M. PRIMA VIA SALIMBENI",41.876907,12.424480,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1940,72407,Consolata/Estensi,"5 M. PRIMA VIA CORRER",41.876823,12.422837,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1941,72408,Fosso Bravetta/Amodei,"10 M. PRIMA VIA AMODEI",41.875301,12.417035,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1942,72409,Fosso Bravetta/Casale Ninfeo,"30 M. DOPO VIA CASAL NINFEO",41.872959,12.414146,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1944,72411,Massimilla/Trabalza,"80 M. DOPO VIA R.GUERRA",41.880550,12.350139,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1945,72412,Massimilla/Belfanti,"ALTEZZA CIVICO 82",41.878262,12.349465,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1950,72420,Capranesi/Boglione,"55 M. PRIMA VIA M.BOGLIONE",41.901283,12.610743,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1951,72422,Boglione/Ministero Finanze,"8 M. PRIMA CIVICO 73",41.900078,12.612899,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1952,72423,Capranesi/Boglione,"30 M. DOPO VIA M.BOGLIONE",41.901142,12.610944,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1957,72428,Passi/Crisafulli,"120 M. DOPO SBOCCO VIA CRISAFULLI V.",41.894978,12.410430,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1977,72454,Frassineto/Simonet,"20 M. DOPO SBOCCO VIA SIMONET DOPO FRONTE CIVICO 73",41.999203,12.490066,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1978,72455,Frassineto/Gentili,"25 M. PRIMA SBOCCO VIA GENTILI",41.999901,12.487005,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1979,72456,Frassineto/Dalmine,"25 M. DOPO SBOCCO VIA DALMINE",42.002247,12.481467,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1981,72459,Inverigo,"80 M. DOPO VIA DELLA GIUSTINIANA  PRIMA CIVICO 18",42.003567,12.481950,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1982,72460,Frassineto/Dalmine,"50 M. DOPO VIA DALMINE",42.001633,12.482207,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1983,72461,Frassineto/Gentili,"45 M. DOPO VIA GENTILI",41.999786,12.487215,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1984,72462,Frassineto/Simonet,"20 M. DOPO VIA SIMONET PRIMA CIVICO 73",41.998970,12.490447,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1988,72466,Lunghezzina/Vigoni,"20 M. DOPO VIA VIGONI",41.925217,12.677751,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1991,72470,Casale Del Cavaliere,"30 M.DOPO FRONTE VIA DEL CASAL DEL CAVALIERE",41.930496,12.664986,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
