route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
242,OP2,343,,3,http://muovi.roma.it/percorso/js?query=343&cl=1,,
314,OP2,546,,3,http://muovi.roma.it/percorso/js?query=546&cl=1,,
1486,OP2,889,,3,http://muovi.roma.it/percorso/js?query=889&cl=1,,
286,OP2,032,,3,http://muovi.roma.it/percorso/js?query=032&cl=1,,
3928,OP2,771,,3,http://muovi.roma.it/percorso/js?query=771&cl=1,,
3070,OP2,314,,3,http://muovi.roma.it/percorso/js?query=314&cl=1,,
1257,OP2,541,,3,http://muovi.roma.it/percorso/js?query=541&cl=1,,
320,OP2,543,,3,http://muovi.roma.it/percorso/js?query=543&cl=1,,
3995,OP2,036,,3,http://muovi.roma.it/percorso/js?query=036&cl=1,,
4358,OP2,764,,3,http://muovi.roma.it/percorso/js?query=764&cl=1,,
312,OP2,665,,3,http://muovi.roma.it/percorso/js?query=665&cl=1,,
345,OP2,437,,3,http://muovi.roma.it/percorso/js?query=437&cl=1,,
3632,OP2,235,,3,http://muovi.roma.it/percorso/js?query=235&cl=1,,
2047,OP2,039,,3,http://muovi.roma.it/percorso/js?query=039&cl=1,,
1256,OP2,778,,3,http://muovi.roma.it/percorso/js?query=778&cl=1,,
S13,1,S13,,3,,,
S15,1,S15,,3,,,
