service_id,date,exception_type
0#19-5117,20220426,1
0#19-5118,20220426,1
0#19-5119,20220426,1
0#19-5120,20220426,1
0#19-5121,20220426,1
0#19-5122,20220426,1
0#19-5123,20220426,1
0#19-5124,20220426,1
0#19-5125,20220426,1
0#19-5126,20220426,1
0#19-5127,20220426,1
0#19-5128,20220426,1
0#19-5129,20220426,1
0#19-5130,20220426,1
0#19-5133,20220426,1
0#19-5141,20220426,1
0#19-5142,20220426,1
0#19-5143,20220426,1
0#19-5144,20220426,1
0#19-5145,20220426,1
0#19-5146,20220426,1
0#19-5147,20220426,1
0#19-5148,20220426,1
0#19-5149,20220426,1
0#19-5150,20220426,1
0#19-5151,20220426,1
0#19-5152,20220426,1
0#19-5153,20220426,1
0#19-5154,20220426,1
0#19-5155,20220426,1
0#19-5156,20220426,1
0#19-5157,20220426,1
0#19-5158,20220426,1
0#19-5159,20220426,1
0#19-5160,20220426,1
0#19-5161,20220426,1
0#19-5162,20220426,1
0#19-5164,20220426,1
0#19-5165,20220426,1
0#22,20220426,1
0#22-4947,20220426,1
0#22-4963,20220426,1
0#22-4964,20220426,1
0#22-4965,20220426,1
0#22-4966,20220426,1
0#22-4967,20220426,1
0#22-4968,20220426,1
0#22-4969,20220426,1
0#22-5163,20220426,1
0#24,20220426,1
0#25,20220426,1
0#26,20220426,1
0#27,20220426,1
0#29,20220426,1
0#30,20220426,1
0#30-4941,20220426,1
0#30-4942,20220426,1
0#30-4943,20220426,1
0#30-4944,20220426,1
0#30-4945,20220426,1
0#30-4946,20220426,1
0#31,20220426,1
0#34,20220426,1
0#34-5137,20220426,1
0#40,20220426,1
0#44,20220426,1
0#44-4786,20220426,1
0#47,20220426,1
0#49,20220426,1
0#50,20220426,1
0#51,20220426,1
0#52,20220426,1
0#58,20220426,1
0#59,20220426,1
0#59-4999,20220426,1
0#59-5000,20220426,1
